date,subpop,incidH
2024-01-01,NC,0
2024-01-02,NC,1
2024-01-03,NC,1
2024-01-04,NC,5
2024-01-05,NC,10
2024-01-06,NC,20
2024-01-07,NC,33
2024-01-08,NC,54
2024-01-09,NC,78
2024-01-10,NC,113
2024-01-11,NC,141
2024-01-12,NC,177
2024-01-13,NC,219
2024-01-14,NC,274
2024-01-15,NC,341
2024-01-16,NC,404
2024-01-17,NC,489
2024-01-18,NC,601
2024-01-19,NC,728
2024-01-20,NC,856
2024-01-21,NC,1037
2024-01-22,NC,1239
2024-01-23,NC,1507
2024-01-24,NC,1756
2024-01-25,NC,2087
2024-01-26,NC,2439
2024-01-27,NC,2893
2024-01-28,NC,3427
2024-01-29,NC,4043
2024-01-30,NC,4758
2024-01-31,NC,5523
2024-02-01,NC,6559
2024-02-02,NC,7638
2024-02-03,NC,8974
2024-02-04,NC,10453
2024-02-05,NC,12293
2024-02-06,NC,14216
2024-02-07,NC,16522
2024-02-08,NC,19127
2024-02-09,NC,22114
2024-02-10,NC,25833
2024-02-11,NC,29773
2024-02-12,NC,34426
2024-02-13,NC,39579
2024-02-14,NC,45644
2024-02-15,NC,52627
2024-02-16,NC,60665
2024-02-17,NC,69619
2024-02-18,NC,79756
2024-02-19,NC,91528
2024-02-20,NC,104736
2024-02-21,NC,119599
2024-02-22,NC,136457
2024-02-23,NC,155502
2024-02-24,NC,177165
2024-02-25,NC,200811
2024-02-26,NC,227739
2024-02-27,NC,257525
2024-02-28,NC,291062
2024-02-29,NC,328321
2024-03-01,NC,369836
2024-03-02,NC,415665
2024-03-03,NC,465737
2024-03-04,NC,520785
2024-03-05,NC,580322
2024-03-06,NC,646413
2024-03-07,NC,718444
2024-03-08,NC,796757
2024-03-09,NC,881076
2024-03-10,NC,970807
2024-03-11,NC,1066535
2024-03-12,NC,1167926
2024-03-13,NC,1274436
2024-03-14,NC,1385522
2024-03-15,NC,1501044
2024-03-16,NC,1618270
2024-03-17,NC,1736892
2024-03-18,NC,1854146
2024-03-19,NC,1968747
2024-03-20,NC,2080723
2024-03-21,NC,2186123
2024-03-22,NC,2283897
2024-03-23,NC,2372771
2024-03-24,NC,2449498
2024-03-25,NC,2512763
2024-03-26,NC,2561626
2024-03-27,NC,2593860
2024-03-28,NC,2610003
2024-03-29,NC,2611082
