subpop,date,amount,source_infection_stage,source_vaccination_stage,source_variant_type,source_age_strata,destination_infection_stage,destination_vaccination_stage,destination_variant_type,destination_age_strata
02000,2024-07-28,51452.49164916491,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
02000,2024-07-28,326258.9226922692,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
02000,2024-07-28,137182.07300730073,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
02000,2024-07-28,129884.37003700368,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
02000,2024-07-28,92290.14261426144,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
01000,2024-07-28,292604.2604260426,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
01000,2024-07-28,1988733.6233623363,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
01000,2024-07-28,960229.6479647964,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
01000,2024-07-28,789543.8293829382,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
01000,2024-07-28,845138.6388638864,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
05000,2024-07-28,187441.88081191882,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
05000,2024-07-28,1220921.4348565144,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
05000,2024-07-28,561725.8284171582,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
05000,2024-07-28,508642.2877712229,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
05000,2024-07-28,520638.56814318575,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
04000,2024-07-28,416009.2419241924,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
04000,2024-07-28,2935333.0070007,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
04000,2024-07-28,1258604.2319231923,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
04000,2024-07-28,1172581.9818981898,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
04000,2024-07-28,1267770.5372537253,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
06000,2024-07-28,2368794.8691,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
06000,2024-07-28,17426159.2692,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
06000,2024-07-28,7208521.6995,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
06000,2024-07-28,6473920.305600001,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
06000,2024-07-28,5806100.8566,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
